Path,Shape_diamond,Shape_hex,Shape_round,Shape_square,Shape_triangle
Dataset/trafficsigns_dataset/round/trafficdirective/00376_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/parking/00091_00000.png,0,0,0,1,0
Dataset/trafficsigns_dataset/diamond/rightofway/01569_00000.png,1,0,0,0,0
Dataset/trafficsigns_dataset/square/laneend/00154_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/triangle/warning/00770_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/noentry/01015_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/limitedtraffic/01904_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/laneend/01123_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/square/continue/00893_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/square/laneend/01624_00000.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/speed/01524_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/giveway/01936_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/warning/00289_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/giveway/01106_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/bicycle/01129_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/giveway/00015_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/bicycle/01853_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noentry/00362_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/laneend/00154_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/triangle/warning/01574_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/square/continue/01167_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/bicycle/01000_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/bicycle/01839_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noentry/01171_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noentry/01168_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/speed/01824_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/continue/01674_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/triangle/warning/00017_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/giveway/01229_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/trafficdirective/01865_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/01433_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/bicycle/01461_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/trafficdirective/00050_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/limitedtraffic/00726_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noentry/01246_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/giveway/00811_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/diamond/rightofway/01955_00002.png,1,0,0,0,0
Dataset/trafficsigns_dataset/diamond/rightofway/01514_00001.png,1,0,0,0,0
Dataset/trafficsigns_dataset/triangle/warning/00029_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/square/parking/01614_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/diamond/rightofway/00959_00002.png,1,0,0,0,0
Dataset/trafficsigns_dataset/square/continue/00093_00000.png,0,0,0,1,0
Dataset/trafficsigns_dataset/triangle/warning/01893_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/giveway/00854_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/noparking/01384_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noentry/01057_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/continue/01499_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/diamond/rightofway/01244_00001.png,1,0,0,0,0
Dataset/trafficsigns_dataset/round/bicycle/01129_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/00689_00003.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/speed/01276_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/diamond/rightofway/01525_00002.png,1,0,0,0,0
Dataset/trafficsigns_dataset/round/speed/00931_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/parking/00012_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/square/crossing/00664_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/speed/01243_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/parking/01694_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/hex/stop/00546_00001.png,0,1,0,0,0
Dataset/trafficsigns_dataset/diamond/rightofway/01002_00002.png,1,0,0,0,0
Dataset/trafficsigns_dataset/square/laneend/00768_00000.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/bicycle/01919_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/bicycle/00192_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/continue/01056_00000.png,0,0,0,1,0
Dataset/trafficsigns_dataset/triangle/warning/00078_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/noentry/01676_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noparking/00525_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/bicycle/00759_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/00877_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/noentry/01636_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/parking/00482_00000.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/bicycle/00677_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/01799_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/noparking/01795_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/giveway/00841_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/speed/01766_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/diamond/rightofway/00208_00000.png,1,0,0,0,0
Dataset/trafficsigns_dataset/round/noentry/00896_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/roundabout/01344_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/continue/01551_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/triangle/warning/00391_00001.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/warning/00261_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/square/continue/01688_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/speed/01231_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/diamond/rightofway/00951_00001.png,1,0,0,0,0
Dataset/trafficsigns_dataset/round/noparking/00863_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/bicycle/00406_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/01087_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/warning/00475_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/giveway/01349_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/noentry/00363_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/crossing/00791_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/diamond/rightofway/01525_00000.png,1,0,0,0,0
Dataset/trafficsigns_dataset/round/traveldirection/00707_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/giveway/01212_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/roundabout/01459_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/00215_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/trafficdirective/01151_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/diamond/rightofway/01002_00000.png,1,0,0,0,0
Dataset/trafficsigns_dataset/round/bicycle/00745_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/parking/00043_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/noparking/01700_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noentry/01665_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/limitedtraffic/00726_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/parking/01022_00000.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/speed/00928_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/01291_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/round/speed/00361_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/square/laneend/00134_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/speed/01828_00000.png,0,0,1,0,0
Dataset/trafficsigns_dataset/hex/stop/00684_00001.png,0,1,0,0,0
Dataset/trafficsigns_dataset/triangle/warning/00801_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/diamond/rightofway/01269_00000.png,1,0,0,0,0
Dataset/trafficsigns_dataset/triangle/giveway/01205_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/square/continue/00176_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/round/limitedtraffic/00292_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/giveway/01720_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/square/laneend/00474_00002.png,0,0,0,1,0
Dataset/trafficsigns_dataset/diamond/rightofway/00111_00001.png,1,0,0,0,0
Dataset/trafficsigns_dataset/round/noparking/01333_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/speed/01269_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/traveldirection/01687_00002.png,0,0,1,0,0
Dataset/trafficsigns_dataset/round/noparking/01825_00001.png,0,0,1,0,0
Dataset/trafficsigns_dataset/triangle/warning/00002_00000.png,0,0,0,0,1
Dataset/trafficsigns_dataset/triangle/warning/01663_00002.png,0,0,0,0,1
Dataset/trafficsigns_dataset/square/continue/01154_00001.png,0,0,0,1,0
Dataset/trafficsigns_dataset/triangle/warning/01515_00001.png,0,0,0,0,1
